推數,噓數,文章分數,文章作者,文章名稱,發表時間
5,1,4,tony77998 (偷尼柒柒玖玖捌),[新聞] 與女友吵架竟放火燒她家 警調監視器揪出,Wed Oct  7 20:24:53 2020
15,3,12,Lucky0105 (洋),[問卦] baby shark為什麼能67億點閱率？,Wed Oct  7 17:52:43 2020
2,0,2,hstf (馬刺贏球就是爽\⊙▽⊙/),[問卦] 以後飛彈是不是改用病毒就好,Fri Oct  2 14:37:36 2020
8,2,6,yhltyy (大堡礁),[問卦] 無事不登三寶殿 是哪三寶,Wed Oct  7 21:07:53 2020
1,0,1,wakaura (wakaura),[問卦] 單身宅適合加入烏伯外送的月費方案嗎？,Fri Oct  2 14:52:48 2020
2,0,2,scum5566 (你好宅),[新聞] 俄羅斯也嚴查中國竊密 俄國科學家被捕面,Fri Oct  2 14:43:53 2020
1,3,-2,bebehome (bebehome),[問卦] 徵兵如果改這樣會不會一堆人簽？,Wed Oct  7 18:44:01 2020
6,1,5,p5360708 (),[新聞] 真．海底撈機車！安全帽、輪框「全面鏽,Fri Oct  2 13:50:23 2020
3,0,3,DamnKobe (KoberInNTHU),[問卦] 現在歌頌習近平來得及嗎,Fri Oct  2 13:05:49 2020
32,14,18,autoimmune (..),[新聞] 藍喊台美復交 陳柏惟：可跟中國建交,Wed Oct  7 21:23:38 2020
12,3,9,Aloee (柯粉),[問卦] 黑人祖宗為何走到亞洲屌就變小了,Wed Oct  7 18:49:16 2020
13,0,13,jiouje (JioUje),[問卦] 911事件、川普死於武肺 那個比較嚴重？,Fri Oct  2 13:07:56 2020
13,2,11,HyperPoro (TomorrowIsInYourHands),[問卦] 南韓人均GDP今年會跌破3萬鎂？,Wed Oct  7 16:58:14 2020
4,1,3,ayaneoshi (小坂菜緒は俺の嫁),[問卦] 夜よ 僕に歌わせるなよ,Wed Oct  7 20:52:58 2020
8,7,1,emperor (派蘿派蘿得第一),[新聞] 女兵好悍！ 5字經怒嗆長官遭判罰1萬元,Wed Oct  7 16:58:08 2020
2,1,1,iecju520 (哎依喜德魯),[問卦] 這次武統新聞要掩蓋什麼,Wed Oct  7 20:12:37 2020
10,1,9,kikiki37 (441),[問卦] 冷氣一個人吹和兩個人吹電費有差嗎？,Fri Oct  2 14:12:47 2020
4,3,1,xampp (xampp),[問卦] 拜登超穩的吧,Fri Oct  2 13:53:12 2020
44,7,37,pillliq (o皿o),[新聞] 股市老師line揪團報明牌　3天崩盤16萬賠,Fri Oct  2 11:42:09 2020
